124,11,Ж,341,------+-----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),1,5,27
128,11,Ж,345,-+----------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),1,5,27
132,11,Ж,340,-+----------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),1,5,27
134,11,Ж,339,-+----------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),1,5,27
136,11,Ж,348,--------+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),1,5,27
136,11,М,342,+-----------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),1,5,27
136,11,М,341,+-----------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),1,5,27
124,11,Ж,339,----+---+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),2,9,27
127,11,М,341,+-----+-----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),2,9,27
127,11,Ж,343,-+-+--------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),2,9,27
128,11,М,340,-----++-----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),2,9,27
130,13,М,105,-+-----+----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),2,9,27
131,11,Ж,337,----+---+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),2,9,27
132,11,М,340,--+-----+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),2,9,27
132,13,Ж,104,-+---+------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),2,9,27
135,12,М,339,++----------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),2,9,27
136,13,М,506,-+----+-----,0(2)0(2)0(2)0(3)0(3)0(4)0(4),2,9,27
136,11,М,340,-+-+--------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),2,9,27
136,13,М,105,-+--------+-,0(2)0(2)0(2)0(3)0(3)0(4)0(4),2,9,27
136,13,М,346,--------+-+-,0(2)0(2)0(2)0(3)0(3)0(4)0(4),2,9,27
121,11,Ж,345,-----++-+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
121,13,М,506,+++---------,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
123,11,Ж,343,++------+---,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
123,11,М,343,-+------+-+-,0(2)0(2)0(2)0(3)0(3)0(4)0(4),3,14,27
